  printify alternatives: base=imp=8 pos=83.0 | new=imp=4 pos=78.8
  printify and printful: base=N/A | new=imp=1 pos=83.0
  printify or printful: base=imp=1 pos=79.0 | new=N/A
  printify printful: base=imp=1 pos=78.0 | new=N/A
  printify vs gelato: base=imp=1 pos=75.0 | new=N/A
  printify vs printful: base=imp=13 pos=84.5 | new=imp=5 pos=81.0
  printify vs printful for etsy: base=N/A | new=imp=1 pos=84.0
  printify vs printful prices: base=N/A | new=imp=1 pos=80.0
  reviews for society6: base=imp=1 pos=52.0 | new=N/A
  reviews of society6: base=imp=1 pos=69.0 | new=N/A
  similar to printify: base=N/A | new=imp=1 pos=75.0
  sites like printful: base=N/A | new=imp=1 pos=72.0
  sites like printify: base=N/A | new=imp=1 pos=73.0
  sites similar to printful: base=N/A | new=imp=1 pos=72.0
  society6 ai art policy: base=N/A | new=imp=1 pos=47.0
  society6 reviews: base=N/A | new=imp=1 pos=68.0
  stores like printify: base=N/A | new=imp=1 pos=76.0
  veed pod: base=N/A | new=imp=1 pos=8.0
  websites like printful: base=N/A | new=imp=1 pos=76.0

== SITE TOTALS ==
  BASE 8/4-8/9: imp=1183 clicks=0 avg_pos=63.2
  NEW 8/10-8/11: imp=498 clicks=0 avg_pos=60.3
